Jahr;Brandenburg/Berlin;Brandenburg;Baden-Wuerttemberg;Bayern;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen/Hamburg/Bremen;Nordrhein-Westfalen;Rheinland-Pfalz;Schleswig-Holstein;Saarland;Sachsen;Sachsen-Anhalt;Thueringen/Sachsen-Anhalt;Thueringen;Deutschland
1970;606.6;607.00;1108.3;1110.8;885.5;694.8;856.8;856.8;1020.2;896.2;850.7;1086.2;852.8;712.1;767.5;837.1;913.5
1971;444.8;444.8;701.8;741.3;591.00;446.2;554.00;553.9;642.9;579.2;597.7;661.1;615.9;444.1;486.00;538.7;601.3
1972;498.6;498.00;809.6;739.1;688.9;543.5;634.5;634.4;720.9;660.7;646.2;740.8;546.8;518.00;577.9;653.3;660.00
1973;516.1;515.3;917.1;850.7;623.1;541.7;677.6;678.3;734.3;633.5;770.4;734.7;661.7;459.6;527.5;612.8;702.2
1974;694.4;693.00;1019.1;1091.3;877.6;644.00;781.6;782.2;1003.6;855.3;824.3;956.9;926.6;618.5;707.3;819.00;885.4
1975;441.00;440.1;864.3;847.3;637.9;467.2;605.1;604.6;696.7;670.4;592.4;718.7;582.5;432.1;499.00;583.1;659.5
1976;400.4;400.9;771.9;747.3;511.7;494.00;575.2;575.1;627.5;561.9;542.2;601.6;522.1;389.8;438.00;498.6;592.00
1977;638.1;637.6;997.2;980.6;833.2;621.7;728.4;728.6;851.3;848.2;788.6;1008.4;802.1;664.2;733.6;820.8;825.5
1978;632.3;632.00;1085.8;965.00;694.3;623.8;747.6;748.9;819.4;797.1;806.2;989.7;758.3;535.3;583.6;644.3;802.3
1979;580.6;579.6;1016.5;1042.8;824.7;596.3;749.00;748.8;896.1;893.2;810.3;1101.9;702.6;564.2;627.00;705.9;827.7
1980;615.2;614.00;987.2;979.3;810.9;694.6;798.00;798.9;906.2;877.2;944.5;1081.5;798.2;574.9;645.2;733.7;839.9
1981;697.9;698.2;1169.1;1182.2;1084.5;743.1;936.8;936.00;1111.4;1034.2;875.7;1184.3;961.00;708.2;814.8;948.8;995.3
1982;396.3;396.4;1066.3;865.00;729.3;472.8;648.5;648.00;805.3;846.1;714.4;1015.3;463.7;370.2;429.7;504.4;705.7
1983;564.9;564.2;972.2;901.00;779.1;638.7;761.6;761.5;865.3;802.6;814.4;962.8;691.7;563.8;615.8;681.3;785.2
